"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33482","should complete checkout process","","Sun May 11 22:13:28 GMT-03:00 2025","passed","Sun May 11 22:14:01 GMT-03:00 2025","","Cookunity Checkout Flow","",""
"","23584","should complete checkout process","","Sun May 11 22:12:53 GMT-03:00 2025","passed","Sun May 11 22:13:17 GMT-03:00 2025","","Cookunity Checkout Flow","",""
